[2020-01-07 15:06:15:257]   Start Server Succeed 
[2020-01-07 15:06:15:258]   Listen Succeed 
[2020-01-07 15:06:22:454]   Database connection success ! 
[2020-01-07 15:06:22:458]   localIP =  127.0.0.1
[2020-01-07 15:06:22:459]   ReadWorkerParam strQuery =  SELECT  table_station.ToolPara , table_station.DefectDefine, table_station.DefectScreening, table_station.Features,  table_config.NowProName,   				table_config.NowBatchName, table_config.DiskSpaceAlarm, table_config.DiskSpaceDelete ,  table_config.SysOnLine, table_config.SysLang,  				table_config.SaveOKImg, table_config.SaveNGImg, table_config.SaveCompressedOKImg, table_config.SaveCompressedNGImg, table_config.AlgorithmOnOrOff, table_config.SamplingCompressedImg,					table_config.StationDynamic FROM table_station, table_config  WHERE table_config.NowProName = table_station.ProName AND table_station.IP = '127.0.0.1'; 
[2020-01-07 15:06:22:459]   ReadFeaturePara strLang =  ITO◊¯±Í1#ITO◊¯±Í2#ITOœﬂ≥§∂»#∏ˆ ˝#æ‡¿Î
[2020-01-07 15:06:22:522]   Camera start connect...  
[2020-01-07 15:06:35:423]   Send Data #ReadyOK@ 
[2020-01-07 15:06:35:423]   Camera connect sucess 
[2020-01-07 15:07:06:801]    defectInfo =  2273,1153
[2020-01-07 15:07:06:801]    defectInfo =  2264,1140
[2020-01-07 15:07:06:801]    defectInfo =  15.999938
[2020-01-07 15:07:06:801]    defectInfoNum =  40
[2020-01-07 15:07:06:801]    defectInfo =  2066,1199
[2020-01-07 15:07:06:801]    defectInfo =  2034,1147
[2020-01-07 15:07:06:801]    defectInfo =  61.008163
[2020-01-07 15:07:06:801]    defectInfoNum =  41
[2020-01-07 15:07:06:801]    defectInfo =  1967,1276
[2020-01-07 15:07:06:801]    defectInfo =  1888,1153
[2020-01-07 15:07:06:801]    defectInfo =  146.013718
[2020-01-07 15:07:06:801]    defectInfoNum =  42
[2020-01-07 15:07:06:801]    defectInfo =  2290,1181
[2020-01-07 15:07:06:801]    defectInfo =  2279,1163
[2020-01-07 15:07:06:801]    defectInfo =  21.000004
[2020-01-07 15:07:06:801]    defectInfoNum =  43
[2020-01-07 15:07:06:801]    defectInfo =  2379,1195
[2020-01-07 15:07:06:801]    defectInfo =  2363,1169
[2020-01-07 15:07:06:801]    defectInfo =  30.999969
[2020-01-07 15:07:06:801]    defectInfoNum =  44
[2020-01-07 15:07:06:801]    defectInfo =  2277,1193
[2020-01-07 15:07:06:801]    defectInfo =  2270,1181
[2020-01-07 15:07:06:801]    defectInfo =  13.999943
[2020-01-07 15:07:06:801]    defectInfoNum =  45
[2020-01-07 15:07:06:801]    defectInfo =  2108,1243
[2020-01-07 15:07:06:801]    defectInfo =  2068,1181
[2020-01-07 15:07:06:801]    defectInfo =  74.006744
[2020-01-07 15:07:06:801]    defectInfoNum =  46
[2020-01-07 15:07:06:801]    defectInfo =  2265,1198
[2020-01-07 15:07:06:801]    defectInfo =  2257,1187
[2020-01-07 15:07:06:801]    defectInfo =  14.000008
[2020-01-07 15:07:06:801]    defectInfoNum =  47
[2020-01-07 15:07:06:801]    defectInfo =  1973,1199
[2020-01-07 15:07:06:801]    defectInfo =  1966,1189
[2020-01-07 15:07:06:801]    defectInfo =  12.041574
[2020-01-07 15:07:06:801]    defectInfoNum =  48
[2020-01-07 15:07:06:801]    defectInfo =  2301,1199
[2020-01-07 15:07:06:801]    defectInfo =  2298,1193
[2020-01-07 15:07:06:801]    defectInfo =  6.999997
[2020-01-07 15:07:06:801]    defectInfoNum =  49
[2020-01-07 15:07:06:801]    defectInfo =  2395,1221
[2020-01-07 15:07:06:801]    defectInfo =  2385,1204
[2020-01-07 15:07:06:801]    defectInfo =  19.000010
[2020-01-07 15:07:06:801]    defectInfoNum =  50
[2020-01-07 15:07:06:801]    defectInfo =  2296,1248
[2020-01-07 15:07:06:801]    defectInfo =  2272,1211
[2020-01-07 15:07:06:801]    defectInfo =  44.000057
[2020-01-07 15:07:06:801]    defectInfoNum =  51
[2020-01-07 15:07:06:801]    defectInfo =  1992,1226
[2020-01-07 15:07:06:801]    defectInfo =  1986,1217
